Unike anleggstyper:
Badeplass
Båthavn/Brygge
Ulike småanlegg
Kajakkanlegg
Båthus
Roanlegg
Vannsportsanlegg
Vannskianlegg
Flytebrygge
Seilanlegg
Tidtaker/sekretariat m.m.
Løno,  Vannsportanlegg;6730781;-56353;33
Hissøyna, Vannsportanlegg;6728023;-54443;33
Askøy roklubbs anlegg;6747373;-38998;33
Askøy seilforening-  båthus ;6742653;-42822;33
Askøy seilforening flytebrygge;6742653;-42822;33
Askøy Seilforening kaianlegg-jolleanlegg;6708014;285940;32
Kleppestø båtlags naust på hanøy;6742544;-43374;33
Stanghelle padleanlegg, flytebryggje med tilkomst;6749071;-6676;33
Furuholmen, flytebrygge 1;6834950;290920;32
Furuholmen flytebrygge 2;6834960;290840;32
Furuholmen, kai, rampe og utstyrshus;6834962;290841;32
Solund ungdomshus - flytebrygge;6777905;275480;32
Valen båthamn - lagerbygg vannsport;6813019;-47010;33
Sørbøvåg båthavn - båthus;0;0;0
Båthus for kajakk - Bulandet symjehall;6831965;54457;33
Haugland helsesportanlegg-flytebrygge;6838304;-15893;33
UWC - vannsportanlegg;6838304;-15893;33
Løken kajakkhavn;6848125;13381;33
Båthus for kajakk;6818094;331638;32
Molde seilsportsenter;6980650;103271;33
Lubbenes - friluftsområde;6980650;103271;33
Cap clara småbåthavn;6980590;96771;33
Ålesund sportsdykkersenter;6957316;46867;33
Ålesund seilforening, seilanlegg;6957390;47353;33
Aalesunds roklubb, klubbhus;6957185;48670;33
Aalesunds roklubb, flytebrygge;6957185;48670;33
Aalesunds roklubb, båthus;6957185;48670;33
Aalesunds Roklub, båthus 2;6957177;48671;33
Ålesund kajakklubb;6958898;46663;33
Bryggeanlegg Stafsethneset;6952270;53729;33
Jonassenskjerva ;6997599;436254;32
Båtopptrekk ved Atlanten ungdomsskole;7020691;134163;33
Kristiansund roklubb;7019558;133840;33
Kristiansund seilforening;7019552;133844;33
Kr.sund Seilf. flytebrygge;7019559;133880;33
Innlandsmoloen småbåthavn;7018072;133451;33
Vågen småbåthavn;7019725;133832;33
Møstavågen småbåthavn;7012530;132836;33
Flytebrygge Borgarøya ;6916190;333199;33
Utrøna Seglarlag -sjøsportanlegg;6894375;346540;32
Ikornnes flytebrygge;6945665;64383;33
Skodje dampskipskai;6957404;73051;33
Storholmen flytebrygge;6955203;45763;33
Lerheimkaia;6954727;46273;33
Roald småbåthamn, båthus;6970509;45137;33
Roald båtserviceanlegg seglanlegg;6970509;45137;33
Myra friareal -  båthus;6968075;94567;33
Raudsand småbåthavn - vannsportanlegg;6986013;150344;33
Eresfjord flytebrygge;6968982;149278;33
Eidsvågleira badeolass - baderampe;6978892;146382;33
Eidsvågleira badeplass - Båtus for kano og kajakk;6978892;146382;33
Steinshamn småbåthamn;6990855;65688;33
Båtnaust - kråkneset småbåtham;6991272;102715;33
Eide Båthavn - båthus;6998034;117246;33
Eide Båthavn - brettsegling;6998034;117246;33
Fårøya friluftsområde - flytebrygge;7014875;123910;33
Vorpbukta småbåthavn;6994259;154601;33
Vassbotn leirsted - vannsportanlegg;7011733;147167;33
Sunndalsøra småbåthavn;6965582;168924;33
Ørsvika;6989052;167036;33
Flytebrygge;6998909;464359;33
Nelvika småbåthavn;7043186;158050;33
Nelvika flytebrygge;7043088;157537;33
Skansen båthus roklubb;7042008;269291;33
Skansen båthus - rehab garderobeanlegg;7042008;269291;33
Skansen båthus seilforeningen;7042008;269291;33
Jonsvatnet roanlegg - robane;7037426;277997;33
Jonsvatnet roanlegg - båthus;7037426;277997;33
Kanalen Brygge F - flytebrygge for seilbåter;7042153;270123;33
Skansen havn - flytebrygge for seilbåter;7042061;269405;33
Skansen havn - flytebrygge for seilbåter;7042061;269405;33
Nydammen badeplass - Badeplattform m/flytebrygge og stupetårn;7032284;576895;33
Nydammen badeplass - flytebrygge;7032275;576926;33
Eaholmen - Aktivitetshus og sjøhus;7053075;498983;32
Eaholmen Nærmiljøanlegg - Flytebrygge;7053076;498954;32
Frøya kultur og kompetansesenter - sjøsportanlegg;7830760;769687;33
Klubbhus Ørland Froskemannsklubb;7066696;528740;33
"Åfjord dykkebåt ""Nidaros""";7110762;259126;33
Åfjord - Ms tangholm;7110762;259126;33
Storvatnet flytebrygge;7009138;263105;33
Grønneset fril.omr.-båtbrygge;7018818;255670;33
Essand flytebrygge;7000891;350797;33
Robrygga Vannsportanlegg;7153841;331044;33
Lauvøyfjorden flytebrygge;7162570;321260;33
Bangsund småbåthavn;7146628;325796;33
Spillum flytebrygge, tilrettelagt for handikappede;7152549;333111;33
Vannsport/ brygge, Bangsund;7146628;325796;33
Vannsportbrygge, Namsos Båthavn;7153801;330891;33
Verdalselva-Moparken Fiskebrygge;7078565;326434;33
Namsskogan fritidsområde;7213559;698654;32
Rørvik Båt og fiskehavn;7198352;321324;33
Årforsjøen flyte-/fiskebrygge;7205689;356447;33
Sandvika flytebrygge;7197713;323787;33
Kvalvika båthus;7465108;473924;33
